product_name,price,metadata,product_id,image_download
Bronte Top | White,84.95,"The Bronte Top features an off shoulder silhouette, back zip closure, elasticated arm inserts with puff sleeve.",1575520768,OK
Bronte Top | Black,84.95,"The Bronte Top features an off shoulder silhouette, back zip closure, elasticated arm inserts with puff sleeve.",1575520934,OK
Harper Jeans | Black,79.95,"The most comfortable denim jeans have arrived. The Harper Jeans feature a super stretchy denim fabric, high waist and cropped ankle.",1575497462,OK
Ava Tank Top | Yellow,49.95,The perfect staple has arrived. The Ava Tank features an unbelievably lightweight fabric with a v-neckline and thick straps for the perfect layering piece.,1574911333,OK
Ava Tank Top | Pink,49.95,The perfect staple has arrived. The Ava Tank features an unbelievably lightweight fabric with a v-neckline and thick straps for the perfect layering piece.,1574911493,OK
Harper Jeans | White,79.95,"The most comfortable denim jeans have arrived. The Harper Jeans feature a super stretchy denim fabric, high waist and cropped ankle.",1575497647,OK
Hollie Shirt | Black,74.95,"The Hollie Shirt features a v shaped neckline, capped sleeves, buttons down the front and two little side splits. Perfect for every occasion.",1574392929,OK
Hollie Shirt | Sand,74.95,"The Hollie Shirt features a v shaped neckline, capped sleeves, buttons down the front and two little side splits. Perfect for every occasion.",1574392987,OK
Hollie Shirt | Mustard,74.95,"The Hollie Shirt features a v shaped neckline, capped sleeves, buttons down the front and two little side splits. Perfect for every occasion.",1574393144,OK
Livvy Dress | Pink,89.95,"The Livvy Dress features a v shaped neckline, capped t-shirt sleeve, buttons down the front and an uneven hemline.",1574393555,OK
Livvy Dress | Mustard,89.95,"The Livvy Dress features a v shaped neckline, capped t-shirt sleeve, buttons down the front and an uneven hemline.",1574393390,OK
Lola Crop | White,84.95,"The Lola Crop features an elasticated shirred back, puff half sleeves that can be worn up or down.",1573771550,OK
Lola Crop | Pink,84.95,"The Lola Crop features an elasticated shirred back, puff half sleeves that can be worn up or down.",1573771477,OK
Mayla Shorts | White,84.95,"The Mayla Shorts feature an elasticated waistband, two side pockets and a wide leg silhouette.",1573771907,OK
Mayla Shorts | Fuchsia,84.95,"The Mayla Shorts feature an elasticated waistband, two side pockets and a wide leg silhouette.",1573771800,OK
Kai Pants | White,99.95,"The Kai Pants feature an elasticated waistband, two side pockets and buttons down the front.",1573771399,OK
Kai Pants | Pink,99.95,"The Kai Pants feature an elasticated waistband, two side pockets and buttons down the front.",1573771340,OK
Kady Dress | White,99.95,,1573771248,OK
Maggie Skirt | Fuchsia,94.95,"The Maggie Skirt features an asymmetrical hemline, buttons down the font and a high-waisted silhouette.",1574738774,OK
Ivana Dress | Fuchsia,99.95,SALE ITEM,1573771151,OK
Iris Playsuit | White Lace,124.95,"The Iris Playsuit features an intricate lace fabrication, deep v-neckline and lace trimmings along the bust and hemline.",1573771074,OK
Vera Top | White,79.95,"The Vera Top features a v neckline, an asymmetrical frill hemline and soft fabrication.",1573772354,OK
Penny Blazer | Navy,124.95,,1573772017,OK
